No,#,Titre français,Diffusion française,Code de production
27,Spécial,Pire Noël,11 décembre 2016,226
28,1,Le Collectionneur,26 octobre 2017,201
29,2,Doudou vilain,27 octobre 2017,204
30,3,Audimatrix,29 octobre 2017,202
31,4,La Béfana,30 octobre 2017,208
32,5,Riposte,1er novembre 2017,207
33,6,Robostus,3 novembre 2017,211
34,7,Gigantitan,26 novembre 2017,206
35,8,Le Hibou noir,10 décembre 2017,213
36,9,Glaciator,14 janvier 2018,203
37,10,Sapotis,21 janvier 2018,212
38,11,Gorizilla,13 mai 2018,210
39,12,Capitaine Hardrock,20 mai 2018,216
40,13,Zombizou,27 mai 2018,215
41,14,Syren,3 juin 2018,214
42,15,Rossignoble,10 juin 2018,209
43,16,L'Insaisissable,17 juin 2018,205
44,17,Anansi,23 septembre 2018,221
45,18,Le Marchand de sable,30 septembre 2018,223
46,19,Inverso,7 octobre 2018,220
47,20,Le Patineur,14 octobre 2018,217
48,21,Style Queen (Le Combat des Reines - Partie 1),21 octobre 2018,218
49,22,Queen Wasp (Le Combat des Reines - Partie 2),21 octobre 2018,219
50,23,Maledikteur,28 octobre 2018,222
51,24,Catalyste (Le Jour des Héros - Partie 1),18 novembre 2018,224
52,25,Mayura (Le Jour des Héros - Partie 2),18 novembre 2018,225
